Angle,Posit-sin,MPFR-sin,Error,Posit-cos,MPFR-cos,Error,Posit-tan,MPFR-tan,Error,Float-sin,Mathlib-sin,Error,Float-cos,Mathlib-cos,Error,Float-tan,Mathlib-tan,Error
33,5.44639047235250473022E-01,5.44639035015027084263E-01,-2.24372889068699885518E-08,8.38670570403337478638E-01,8.38670567945424050293E-01,-2.93072578300802667422E-09,6.49407606571912765503E-01,6.49407593197510624172E-01,-2.05947733102022395281E-08,5.44639033754751644700E-01,5.44639035015027084263E-01,2.31396458670686795529E-09,8.38670568763857260386E-01,8.38670567945424050293E-01,-9.75869717352129362540E-10,6.49407591061067157590E-01,6.49407593197510624172E-01,3.28983444136127865459E-09
34,5.59192899614572525024E-01,5.59192903470746904837E-01,6.89596436785704062441E-09,8.29037565737962722778E-01,8.29037572555041624156E-01,8.22288298305116454662E-09,6.74508519470691680908E-01,6.74508516842426741889E-01,-3.89656309305811148527E-09,5.59192902233428990044E-01,5.59192903470746904837E-01,2.21268529538411079548E-09,8.29037573389623139164E-01,8.29037572555041624156E-01,-1.00668720289214199114E-09,6.74508514670932646240E-01,6.74508516842426741889E-01,3.21937238956439708988E-09
35,5.73576439172029495239E-01,5.73576436351046048401E-01,-4.91823453695826192421E-09,8.19152042269706726074E-01,8.19152044288991798560E-01,2.46509192706997937256E-09,7.00207542628049850464E-01,7.00207538209709712262E-01,-6.31004366870671083545E-09,5.73576435121175731702E-01,5.73576436351046048401E-01,2.14421346267851224463E-09,8.19152045150156826736E-01,8.19152044288991798560E-01,-1.05128838312786356224E-09,7.00207535972195205254E-01,7.00207538209709712262E-01,3.19550188324089413358E-09
36,5.87785255163908004761E-01,5.87785252292473137103E-01,-4.88517682981684403648E-09,8.09017010033130645752E-01,8.09016994374947451263E-01,-1.93545788483104761746E-08,7.26542517542839050293E-01,7.26542528005360899179E-01,1.44004258455513606225E-08,5.87785251090512161909E-01,5.87785252292473137103E-01,2.04489815031368019572E-09,8.09016995248223458326E-01,8.09016994374947451263E-01,-1.07942850784931122152E-09,7.26542525735404676190E-01,7.26542528005360899179E-01,3.12432670558290818953E-09
37,6.01815026253461837769E-01,6.01815023152048267363E-01,-5.15343326261175878393E-09,7.98635516315698623657E-01,7.98635510047292829228E-01,-7.84889439326347327909E-09,7.53554049879312515259E-01,7.53554050102794192867E-01,2.96570154454265841704E-10,6.01815021990941168006E-01,6.01815023152048267363E-01,1.92934216443335760848E-09,7.98635510922249824972E-01,7.98635510047292829228E-01,-1.09556485372489478456E-09,7.53554047823363215564E-01,7.53554050102794192867E-01,3.02490707467152197626E-09
38,6.15661479532718658447E-01,6.15661475325658180680E-01,-6.83339889917559008983E-09,7.88010761141777038574E-01,7.88010753606722014197E-01,-9.56212208209317828809E-09,7.81285624951124191284E-01,7.81285626506717290063E-01,1.99106832640813242302E-09,6.15661474188145096953E-01,6.15661475325658180680E-01,1.84762751823128961009E-09,7.88010754495444776246E-01,7.88010753606722014197E-01,-1.12780537318991957458E-09,7.81285624182054272424E-01,7.81285626506717290063E-01,2.97543297709547353533E-09
39,6.29320390522480010986E-01,6.29320391049837390973E-01,8.37979191265124404008E-10,7.77145963162183761597E-01,7.77145961456970901793E-01,-2.19419893584974531751E-09,8.09784032404422760010E-01,8.09784033195007024730E-01,9.76290282853821040922E-10,6.29320389924570844364E-01,6.29320391049837390973E-01,1.78806624195292421940E-09,7.77145962368193776726E-01,7.77145961456970901793E-01,-1.17252475098078791217E-09,8.09784030797567777604E-01,8.09784033195007024730E-01,2.96059090924141678275E-09
40,6.42787624150514602661E-01,6.42787609686539251896E-01,-2.25019510156537805054E-08,7.66044434159994125366E-01,7.66044443118978013452E-01,1.16951229340972924021E-08,8.39099660515785217285E-01,8.39099631177279925431E-01,-3.49642690603454306432E-08,6.42787608609342697719E-01,6.42787609686539251896E-01,1.67582034554636343991E-09,7.66044444022853765475E-01,7.66044443118978013452E-01,-1.17992599534151653293E-09,8.39099628781024287072E-01,8.39099631177279925431E-01,2.85574626578898843874E-09
41,6.56059034168720245361E-01,6.56059028990507164814E-01,-7.89290723439737946443E-09,7.54709586501121520996E-01,7.54709580222772125069E-01,-8.31889458479530304984E-09,8.69286738336086273193E-01,8.69286737816226451336E-01,-5.98030328327274303876E-10,6.56059027933419192102E-01,6.56059028990507164814E-01,1.61126960532464063641E-09,7.54709581141684737737E-01,7.54709580222772125069E-01,-1.21757115153789369766E-09,8.69286735357152617887E-01,8.69286737816226451336E-01,2.82884084902423933059E-09
42,6.69130608439445495605E-01,6.69130606358858237570E-01,-3.10938889320049204006E-09,7.43144821375608444214E-01,7.43144825477394244118E-01,5.51949720234345411869E-09,9.00404050946235656738E-01,9.00404044297839933897E-01,-7.38379146390189086229E-09,6.69130605325609417733E-01,6.69130606358858237570E-01,1.54416613142203739718E-09,7.43144826407735714646E-01,7.43144825477394244118E-01,-1.25189793245343307285E-09,9.00404041780252573091E-01,9.00404044297839933897E-01,2.79606403008729435761E-09
