Angle,Posit-sin,MPFR-sin,Error,Posit-cos,MPFR-cos,Error,Posit-tan,MPFR-tan,Error,Float-sin,Mathlib-sin,Error,Float-cos,Mathlib-cos,Error,Float-tan,Mathlib-tan,Error
53,7.9863551632E-01,7.9863551005E-01,-7.8488944394E-09,6.0181502625E-01,6.0181502315E-01,-5.1534331814E-09,1.3270448223E+00,1.3270448216E+00,-4.9375024880E-10,7.9863551092E-01,7.9863551005E-01,-1.0955648537E-09,6.0181502199E-01,6.0181502315E-01,1.9293423489E-09,1.3270448256E+00,1.3270448216E+00,-3.0249071934E-09
54,8.0901701003E-01,8.0901699437E-01,-1.9354578893E-08,5.8778525516E-01,5.8778525229E-01,-4.8851767455E-09,1.3763819411E+00,1.3763819205E+00,-1.5016562111E-08,8.0901699525E-01,8.0901699437E-01,-1.0794285078E-09,5.8778525109E-01,5.8778525229E-01,2.0448981503E-09,1.3763819248E+00,1.3763819205E+00,-3.1243268801E-09
55,8.1915204227E-01,8.1915204429E-01,2.4650918842E-09,5.7357643917E-01,5.7357643635E-01,-4.9182344495E-09,1.4281479940E+00,1.4281480067E+00,8.9348416109E-09,8.1915204515E-01,8.1915204429E-01,-1.0512883831E-09,5.7357643512E-01,5.7357643635E-01,2.1442136562E-09,1.4281480113E+00,1.4281480067E+00,-3.1955020634E-09
56,8.2903756574E-01,8.2903757256E-01,8.2228830166E-09,5.5919289961E-01,5.5919290347E-01,6.8959642940E-09,1.4825609699E+00,1.4825609685E+00,-9.2840949508E-10,8.2903757339E-01,8.2903757256E-01,-1.0066870690E-09,5.5919290223E-01,5.5919290347E-01,2.2126850968E-09,1.4825609733E+00,1.4825609685E+00,-3.2193722347E-09
57,8.3867057040E-01,8.3867056795E-01,-2.9307258228E-09,5.4463904724E-01,5.4463903502E-01,-2.2437288813E-08,1.5398649350E+00,1.5398649638E+00,1.8724832394E-08,8.3867056876E-01,8.3867056795E-01,-9.7586984973E-10,5.4463903375E-01,5.4463903502E-01,2.3139647906E-09,1.5398649689E+00,1.5398649638E+00,-3.2898344524E-09
58,8.4804810584E-01,8.4804809616E-01,-1.1413843925E-08,5.2991926298E-01,5.2991926423E-01,2.3734758448E-09,1.6003345475E+00,1.6003345290E+00,-1.1509486481E-08,8.4804809664E-01,8.4804809616E-01,-5.6471904683E-10,5.2991926347E-01,5.2991926423E-01,1.4462851761E-09,1.6003345323E+00,1.6003345290E+00,-2.0110041759E-09
59,8.5716731101E-01,8.5716730070E-01,-1.2028728440E-08,5.1503807306E-01,5.1503807491E-01,3.5864486347E-09,1.6642795056E+00,1.6642794824E+00,-1.3975987124E-08,8.5716730118E-01,8.5716730070E-01,-5.5176549685E-10,5.1503807412E-01,5.1503807491E-01,1.5282948313E-09,1.6642794858E+00,1.6642794824E+00,-2.0800601995E-09
60,8.6602541059E-01,8.6602540378E-01,-7.8613368391E-09,5.0000000373E-01,5.0000000000E-01,-7.4505803980E-09,1.7320508063E+00,1.7320508076E+00,7.4185238845E-10,8.6602540424E-01,8.6602540378E-01,-5.2555095829E-10,4.9999999921E-01,5.0000000000E-01,1.5766529193E-09,1.7320508112E+00,1.7320508076E+00,-2.1022039613E-09
61,8.7461970001E-01,8.7461970714E-01,8.1461742527E-09,4.8480962403E-01,4.8480962025E-01,-7.8068768383E-09,1.8040477261E+00,1.8040477553E+00,1.6172909347E-08,8.7461970759E-01,8.7461970714E-01,-5.1276943667E-10,4.8480961944E-01,4.8480962025E-01,1.6688541114E-09,1.8040477592E+00,1.8040477553E+00,-2.1816235437E-09
62,8.8294760138E-01,8.8294759286E-01,-9.6484062905E-09,4.6947156265E-01,4.6947156279E-01,2.8140330946E-10,1.8807264864E+00,1.8807264653E+00,-1.1218080857E-08,8.8294759331E-01,8.8294759286E-01,-5.0882416264E-10,4.6947156194E-01,4.6947156279E-01,1.7997784057E-09,1.8807264697E+00,1.8807264653E+00,-2.3086024728E-09
63,8.9100653678E-01,8.9100652419E-01,-1.4133925721E-08,4.5399050415E-01,4.5399049974E-01,-9.7052150347E-09,1.9626105130E+00,1.9626105055E+00,-3.8044877761E-09,8.9100652463E-01,8.9100652419E-01,-4.9286314362E-10,4.5399049888E-01,4.5399049974E-01,1.8984295169E-09,1.9626105102E+00,1.9626105055E+00,-2.3912926466E-09
64,8.9879405871E-01,8.9879404630E-01,-1.3808691493E-08,4.3837114610E-01,4.3837114679E-01,1.5769700298E-09,2.0503038764E+00,2.0503038416E+00,-1.6983189063E-08,8.9879404672E-01,8.9879404630E-01,-4.7004187203E-10,4.3837114592E-01,4.3837114679E-01,1.9759352607E-09,2.0503038466E+00,2.0503038416E+00,-2.4459771847E-09
65,9.0630779043E-01,9.0630778704E-01,-3.7423821386E-09,4.2261826433E-01,4.2261826174E-01,-6.1325183422E-09,2.1445069164E+00,2.1445069205E+00,1.9145604796E-09,9.0630778746E-01,9.0630778704E-01,-4.6838661134E-10,4.2261826083E-01,4.2261826174E-01,2.1540667929E-09,2.1445069261E+00,2.1445069205E+00,-2.6224533558E-09
66,9.1354546323E-01,9.1354545764E-01,-6.1207520856E-09,4.0673664771E-01,4.0673664308E-01,-1.1394114649E-08,2.2460367680E+00,2.2460367739E+00,2.6467160167E-09,9.1354545805E-01,9.1354545764E-01,-4.4967324677E-10,4.0673664215E-01,4.0673664308E-01,2.2684585658E-09,2.2460367800E+00,2.2460367739E+00,-2.7181316302E-09
67,9.2050485685E-01,9.2050485345E-01,-3.6960554050E-09,3.9073112793E-01,3.9073112849E-01,1.4245247889E-09,2.3558523804E+00,2.3558523658E+00,-6.1851005997E-09,9.2050485385E-01,9.2050485345E-01,-4.3310060307E-10,3.9073112755E-01,3.9073112849E-01,2.4037274863E-09,2.3558523725E+00,2.3558523658E+00,-2.8368279396E-09
68,9.2718386650E-01,9.2718385457E-01,-1.2871305948E-08,3.7460659072E-01,3.7460659342E-01,7.2019048297E-09,2.4750868976E+00,2.4750868534E+00,-1.7856069013E-08,9.2718385495E-01,9.2718385457E-01,-4.1643955095E-10,3.7460659246E-01,3.7460659342E-01,2.5511309838E-09,2.4750868608E+00,2.4750868534E+00,-2.9675705418E-09
69,9.3358043581E-01,9.3358042650E-01,-9.9780065296E-09,3.5836795345E-01,3.5836794955E-01,-1.0894353986E-08,2.6050890684E+00,2.6050890647E+00,-1.4275827332E-09,9.3358042687E-01,9.3358042650E-01,-3.9847662592E-10,3.5836794858E-01,3.5836794955E-01,2.7042566096E-09,2.6050890728E+00,2.6050890647E+00,-3.1027332938E-09
70,9.3969262764E-01,9.3969262079E-01,-7.2924591642E-09,3.4202015027E-01,3.4202014333E-01,-2.0315673291E-08,2.7474773824E+00,2.7474774195E+00,1.3478956244E-08,9.3969262115E-01,9.3969262079E-01,-3.8345327370E-10,3.4202014234E-01,3.4202014333E-01,2.8945471192E-09,2.7474774285E+00,2.7474774195E+00,-3.2780002837E-09
71,9.4551857188E-01,9.4551857560E-01,3.9299881195E-09,3.2556815818E-01,3.2556815446E-01,-1.1433442651E-08,2.9042108357E+00,2.9042108777E+00,1.4455064442E-08,9.4551857595E-01,9.4551857560E-01,-3.6812311326E-10,3.2556815345E-01,3.2556815446E-01,3.1049134771E-09,2.9042108878E+00,2.9042108777E+00,-3.4730364916E-09
72,9.5105652139E-01,9.5105651630E-01,-5.3527361231E-09,3.0901699886E-01,3.0901699437E-01,-1.4505067233E-08,3.0776835084E+00,3.0776835372E+00,9.3508977971E-09,9.5105651702E-01,9.5105651630E-01,-7.6507984822E-10,3.0901699214E-01,3.0901699437E-01,7.2469393659E-09,3.0776835618E+00,3.0776835372E+00,-8.0120193856E-09
