Angle, Float-sin, Mathlib-sin, Error, Float-cos, Mathlib-cos, Error, Float-tan, Mathlib-tan, Error 
148,9.851604e-01,5.299193e-01,-8.590761e-01,-1.716362e-01,-8.480480e-01,7.976103e-01,-5.739817e+00,-6.248695e-01,-8.185625e+00
149,9.851604e-01,5.150380e-01,-9.127915e-01,-1.716362e-01,-8.571673e-01,7.997635e-01,-5.739817e+00,-6.008605e-01,-8.552660e+00
150,9.851604e-01,5.000001e-01,-9.703205e-01,-1.716362e-01,-8.660254e-01,8.018116e-01,-5.739817e+00,-5.773503e-01,-8.941653e+00
151,9.851604e-01,4.848095e-01,-1.032056e+00,-1.716362e-01,-8.746198e-01,8.037591e-01,-5.739817e+00,-5.543090e-01,-9.354905e+00
152,9.851604e-01,4.694716e-01,-1.098445e+00,-1.716362e-01,-8.829476e-01,8.056100e-01,-5.739817e+00,-5.317094e-01,-9.795025e+00
153,9.851604e-01,4.539906e-01,-1.170002e+00,-1.716362e-01,-8.910065e-01,8.073682e-01,-5.739817e+00,-5.095256e-01,-1.026502e+01
154,9.851604e-01,4.383711e-01,-1.247320e+00,-1.716362e-01,-8.987941e-01,8.090372e-01,-5.739817e+00,-4.877325e-01,-1.076837e+01
155,9.851604e-01,4.226183e-01,-1.331088e+00,-1.716362e-01,-9.063078e-01,8.106204e-01,-5.739817e+00,-4.663077e-01,-1.130907e+01
156,9.851604e-01,4.067366e-01,-1.422109e+00,-1.716362e-01,-9.135455e-01,8.121208e-01,-5.739817e+00,-4.452286e-01,-1.189184e+01
157,9.851604e-01,3.907312e-01,-1.521325e+00,-1.716362e-01,-9.205049e-01,8.135412e-01,-5.739817e+00,-4.244748e-01,-1.252216e+01
158,9.851604e-01,3.746067e-01,-1.629852e+00,-1.716362e-01,-9.271838e-01,8.148844e-01,-5.739817e+00,-4.040264e-01,-1.320654e+01
159,9.851604e-01,3.583679e-01,-1.749019e+00,-1.716362e-01,-9.335805e-01,8.161527e-01,-5.739817e+00,-3.838640e-01,-1.395273e+01
160,9.851604e-01,3.420202e-01,-1.880416e+00,-1.716362e-01,-9.396926e-01,8.173486e-01,-5.739817e+00,-3.639703e-01,-1.477001e+01
161,9.851604e-01,3.255681e-01,-2.025973e+00,-1.716362e-01,-9.455186e-01,8.184740e-01,-5.739817e+00,-3.443275e-01,-1.566964e+01
162,9.851604e-01,3.090170e-01,-2.188045e+00,-1.716362e-01,-9.510565e-01,8.195310e-01,-5.739817e+00,-3.249197e-01,-1.666534e+01
163,9.851604e-01,2.923718e-01,-2.369546e+00,-1.716362e-01,-9.563047e-01,8.205214e-01,-5.739817e+00,-3.057308e-01,-1.777409e+01
164,9.851604e-01,2.756374e-01,-2.574118e+00,-1.716362e-01,-9.612617e-01,8.214469e-01,-5.739817e+00,-2.867454e-01,-1.901712e+01
165,9.851604e-01,2.588191e-01,-2.806366e+00,-1.716362e-01,-9.659258e-01,8.223091e-01,-5.739817e+00,-2.679493e-01,-2.042128e+01
166,9.851604e-01,2.419219e-01,-3.072225e+00,-1.716362e-01,-9.702957e-01,8.231094e-01,-5.739817e+00,-2.493280e-01,-2.202115e+01
167,9.851604e-01,2.249511e-01,-3.379442e+00,-1.716362e-01,-9.743701e-01,8.238491e-01,-5.739817e+00,-2.308683e-01,-2.386187e+01
168,9.851604e-01,2.079116e-01,-3.738361e+00,-1.716362e-01,-9.781476e-01,8.245293e-01,-5.739817e+00,-2.125565e-01,-2.600372e+01
169,9.851604e-01,1.908090e-01,-4.163070e+00,-1.716362e-01,-9.816272e-01,8.251513e-01,-5.739817e+00,-1.943803e-01,-2.852879e+01
170,9.851604e-01,1.736483e-01,-4.673308e+00,-1.716362e-01,-9.848077e-01,8.257160e-01,-5.739817e+00,-1.763271e-01,-3.155210e+01
171,9.851604e-01,1.564344e-01,-5.297592e+00,-1.716362e-01,-9.876884e-01,8.262243e-01,-5.739817e+00,-1.583844e-01,-3.523978e+01
172,9.851604e-01,1.391732e-01,-6.078665e+00,-1.716362e-01,-9.902681e-01,8.266770e-01,-5.739817e+00,-1.405409e-01,-3.984090e+01
173,9.851604e-01,1.218693e-01,-7.083746e+00,-1.716362e-01,-9.925461e-01,8.270748e-01,-5.739817e+00,-1.227845e-01,-4.574708e+01
174,9.851604e-01,1.045285e-01,-8.424802e+00,-1.716362e-01,-9.945219e-01,8.274184e-01,-5.739817e+00,-1.051043e-01,-5.361069e+01
175,9.851604e-01,8.715588e-02,-1.030343e+01,-1.716362e-01,-9.961947e-01,8.277082e-01,-5.739817e+00,-8.748880e-02,-6.460630e+01
176,9.851604e-01,6.975647e-02,-1.312285e+01,-1.716362e-01,-9.975641e-01,8.279447e-01,-5.739817e+00,-6.992681e-02,-8.108321e+01
