Angle, Posit-sin, Mathlib-sin, Error, Posit-cos, Mathlib-cos, Error, Posit-tan, Mathlib-tan, Error 
1.530000e-01,2.670349e-03,2.670351e-03,3.923597e-07,9.999964e-01,9.999964e-01,-3.725303e-09,2.670359e-03,2.670360e-03,4.141560e-07
1.540000e-01,2.687801e-03,2.687804e-03,8.879049e-07,9.999964e-01,9.999964e-01,-1.490122e-08,2.687811e-03,2.687813e-03,8.879017e-07
1.550000e-01,2.705262e-03,2.705257e-03,-1.742836e-06,9.999964e-01,9.999963e-01,-1.117591e-08,2.705272e-03,2.705267e-03,-1.742830e-06
1.560000e-01,2.722714e-03,2.722710e-03,-1.261336e-06,9.999963e-01,9.999963e-01,-7.450609e-09,2.722724e-03,2.722720e-03,-1.261331e-06
1.570000e-01,2.740166e-03,2.740163e-03,-7.859690e-07,9.999963e-01,9.999962e-01,-1.117591e-08,2.740176e-03,2.740174e-03,-7.647237e-07
1.580000e-01,2.757618e-03,2.757617e-03,-3.588353e-07,9.999962e-01,9.999962e-01,-7.450609e-09,2.757628e-03,2.757627e-03,-3.588340e-07
1.590000e-01,2.775070e-03,2.775070e-03,1.048760e-07,9.999962e-01,9.999961e-01,-7.450609e-09,2.775080e-03,2.775081e-03,1.258507e-07
1.600000e-01,2.792522e-03,2.792523e-03,5.419469e-07,9.999961e-01,9.999961e-01,-1.117591e-08,2.792532e-03,2.792534e-03,5.627887e-07
1.610000e-01,2.809973e-03,2.809976e-03,1.056447e-06,9.999961e-01,9.999961e-01,-1.490122e-08,2.809984e-03,2.809987e-03,1.056443e-06
1.620000e-01,2.827434e-03,2.827430e-03,-1.502835e-06,9.999960e-01,9.999960e-01,-1.490122e-08,2.827445e-03,2.827441e-03,-1.482242e-06
1.630000e-01,2.844886e-03,2.844883e-03,-1.002563e-06,9.999960e-01,9.999960e-01,-1.117592e-08,2.844897e-03,2.844894e-03,-1.002559e-06
1.640000e-01,2.862338e-03,2.862336e-03,-5.897358e-07,9.999959e-01,9.999959e-01,-1.117592e-08,2.862349e-03,2.862348e-03,-5.897334e-07
1.650000e-01,2.879790e-03,2.879789e-03,-1.414873e-07,9.999959e-01,9.999959e-01,-7.450613e-09,2.879802e-03,2.879801e-03,-1.414867e-07
