Angle,Posit-sin,MPFR-sin,Error,Posit-cos,MPFR-cos,Error,Posit-tan,MPFR-tan,Error
107,9.5630475506E-01,9.5630475596E-01,9.4234672714E-10,-2.9237170890E-01,-2.9237170472E-01,-1.4286607432E-08,-3.2708525658E+00,-3.2708526185E+00,1.6117742771E-08
108,9.5105651394E-01,9.5105651630E-01,2.4812679630E-09,-3.0901699699E-01,-3.0901699437E-01,-8.4774212894E-09,-3.0776835084E+00,-3.0776835372E+00,9.3508982138E-09
109,9.4551857561E-01,9.4551857560E-01,-9.9558249353E-12,-3.2556815445E-01,-3.2556815446E-01,8.9847539701E-12,-2.9042108804E+00,-2.9042108777E+00,-9.3757824605E-10
110,9.3969262019E-01,9.3969262079E-01,6.3628314361E-10,-3.4202014096E-01,-3.4202014333E-01,6.9143767891E-09,-2.7474774420E+00,-2.7474774195E+00,-8.2153598967E-09
111,9.3358042464E-01,9.3358042650E-01,1.9929716766E-09,-3.5836795345E-01,-3.5836794955E-01,-1.0894354305E-08,-2.6050890237E+00,-2.6050890647E+00,1.5732477221E-08
112,9.2718385532E-01,9.2718385457E-01,-8.1774094823E-10,-3.7460659444E-01,-3.7460659342E-01,-2.7426350465E-09,-2.4750868529E+00,-2.4750868534E+00,2.0531045359E-10
113,9.2050485313E-01,9.2050485345E-01,3.5095251582E-10,-3.9073112793E-01,-3.9073112849E-01,1.4245239773E-09,-2.3558523655E+00,-2.3558523658E+00,1.4006801726E-10
114,9.1354545578E-01,9.1354545764E-01,2.0349237863E-09,-4.0673664771E-01,-4.0673664308E-01,-1.1394114924E-08,-2.2460367382E+00,-2.2460367739E+00,1.5915565162E-08
115,9.0630778670E-01,9.0630778704E-01,3.6802097557E-10,-4.2261826433E-01,-4.2261826174E-01,-6.1325186048E-09,-2.1445069015E+00,-2.1445069205E+00,8.8630863794E-09
116,8.9879404381E-01,8.9879404630E-01,2.7703693185E-09,-4.3837115355E-01,-4.3837114679E-01,-1.5419085851E-08,-2.0503038019E+00,-2.0503038416E+00,1.9355720293E-08
117,8.9100652561E-01,8.9100652419E-01,-1.5909525239E-09,-4.5399049856E-01,-4.5399049974E-01,2.6032701468E-09,-1.9626105130E+00,-1.9626105055E+00,-3.8044874733E-09
118,8.8294759020E-01,8.8294759286E-01,3.0090505592E-09,-4.6947156638E-01,-4.6947156279E-01,-7.6536685840E-09,-1.8807264417E+00,-1.8807264653E+00,1.2551183823E-08
119,8.7461971119E-01,8.7461970714E-01,-4.6318031297E-09,-4.8480961472E-01,-4.8480962025E-01,1.1403190887E-08,-1.8040477857E+00,-1.8040477553E+00,-1.6866484472E-08
120,8.6602540314E-01,8.6602540378E-01,7.4185278626E-10,-5.0000000000E-01,-5.0000000000E-01,-3.9780505668E-16,-1.7320508063E+00,-1.7320508076E+00,7.4185318406E-10
121,8.5716729611E-01,8.5716730070E-01,5.3554639398E-09,-5.1503808051E-01,-5.1503807491E-01,-1.0879628855E-08,-1.6642794535E+00,-1.6642794824E+00,1.7361336441E-08
122,8.4804809839E-01,8.4804809616E-01,-2.6282801156E-09,-5.2991925925E-01,-5.2991926423E-01,9.4033961479E-09,-1.6003345475E+00,-1.6003345290E+00,-1.1509486208E-08
123,8.3867056668E-01,8.3867056795E-01,1.5111735917E-09,-5.4463903606E-01,-5.4463903502E-01,-1.9175130211E-09,-1.5398649573E+00,-1.5398649638E+00,4.2094415785E-09
124,8.2903756946E-01,8.2903757256E-01,3.7293710778E-09,-5.5919291079E-01,-5.5919290347E-01,-1.3089752491E-08,-1.4825609401E+00,-1.4825609685E+00,1.9173511041E-08
125,8.1915204599E-01,8.1915204429E-01,-2.0826476067E-09,-5.7357643545E-01,-5.7357643635E-01,1.5766104921E-09,-1.4281480089E+00,-1.4281480067E+00,-1.4990630519E-09
126,8.0901699141E-01,8.0901699437E-01,3.6689814203E-09,-5.8778525516E-01,-5.8778525229E-01,-4.8851769141E-09,-1.3763819113E+00,-1.3763819205E+00,6.6360927949E-09
127,7.9863550514E-01,7.9863551005E-01,6.1448119446E-09,-6.0181502998E-01,-6.0181502315E-01,-1.1343524946E-08,-1.3270447999E+00,-1.3270448216E+00,1.6349495097E-08
128,7.8801075369E-01,7.8801075361E-01,-1.0719963063E-10,-6.1566147581E-01,-6.1566147533E-01,-7.8252437316E-10,-1.2799416333E+00,-1.2799416322E+00,-8.9896108183E-10
129,7.7714595944E-01,7.7714596146E-01,2.5993541309E-09,-6.2932039425E-01,-6.2932039105E-01,-5.0815659010E-09,-1.2348971441E+00,-1.2348971565E+00,1.0038276394E-08
130,7.6604444534E-01,7.6604444312E-01,-2.8939404392E-09,-6.4278760552E-01,-6.4278760969E-01,6.4756634401E-09,-1.1917536035E+00,-1.1917535926E+00,-9.1661559233E-09
131,7.5470957905E-01,7.5470958022E-01,1.5532211813E-09,-6.5605903044E-01,-6.5605902899E-01,-2.2146215577E-09,-1.1503683999E+00,-1.1503684072E+00,6.3483398348E-09
132,7.4314482138E-01,7.4314482548E-01,5.5194971575E-09,-6.6913061216E-01,-6.6913060636E-01,-8.6767478304E-09,-1.1106124967E+00,-1.1106125148E+00,1.6293285941E-08
